trapping_N;Capture_frame;trap_type;trap_reference;the_date_of_Laying_the_Trap;statement_date;The_hour_of_laying_the_trap;statement_hour;Wind;Cloud_cover;Rain;wind_;cloud_cover_;rain_;Commune;Village;Said_neighborhood_place;Environnement;builinding_house_type;internal_external_situation;MIILD_presence;AID_last_date;observation;Y;X;Genre;Species;Gender;NB;whose_NB_throat?;TN;TX;RR
1;Site monitoring;CDC;20;11/01/2018;12/01/2018;10:05;9:50;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;PU;Béton;EH ;NO;10/01/2018;Palu;45.132431;12.780641;Culex;quinquefasciatus (pipiens);F;1;0;22,6;27,8;6
1;Site monitoring;CDC;27;11/01/2018;12/01/2018;10:09;9:55;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;PU;Béton;IH;NO;10/01/2018;Palu;45.132431;12.780641;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
2;Site monitoring;CDC;11;11/01/2018;12/01/2018;10:29;10:20;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;IH;NO;10/01/2018;Palu;45.132444;12.780949;Culex;"""NA""";NA;0;0;22,6;27,8;6
2;Site monitoring;CDC;66;11/01/2018;12/01/2018;10:36;10:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;EH ;NO;10/01/2018;Palu;45.132424;12.780949;Culex;quinquefasciatus (pipiens);M;1;0;22,6;27,8;6
3;Site monitoring;CDC;90;11/01/2018;12/01/2018;10:55;10:45;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;EH ;NO;10/01/2018;Palu;45.132439;12.780653;Culex;quinquefasciatus (pipiens);F;15;1;22,6;27,8;6
3;Site monitoring;CDC;65;11/01/2018;12/01/2018;11:00;10:50;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;IH;NO;10/01/2018;Palu;45.132439;12.780653;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
4;Site monitoring;CDC;Q22;11/01/2018;12/01/2018;11:20;11:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Tole;IH;NO;10/01/2018;Palu;45.132447;12.78095;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
4;Site monitoring;CDC;AL33;11/01/2018;12/01/2018;11:25;11:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Tole;EH ;NO;10/01/2018;Palu;45.132447;12.78095;Culex;quinquefasciatus (pipiens);M;3;0;22,6;27,8;6
61;Site monitoring;CDC;AO;15/01/2018;16/01/2018;10:30;10:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;12/01/2018;NA;45.6241;12.854142;Culex;quinquefasciatus (pipiens);M;4;NA;24,4;30;75,2
61;Site monitoring;CDC;AO;15/01/2018;16/01/2018;10:30;10:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;12/01/2018;NA;45.6241;12.854142;Culex;quinquefasciatus (pipiens);F;1;1;24,4;30;75,3
9;Site monitoring;CDC;A;15/01/2018;16/01/2018;10:35;10:25;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;12/01/2018;NA;45.6241;12.85414;"""NA""";"""NA""";NA;0;NA;24,4;30;75,4
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,5
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);F;1;NA;24,4;30;75,6
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Aedes;albopictus;M;1;NA;24,4;30;75,7
78;Site monitoring;CDC;AN;15/01/2018;16/01/2018;11:00;10:50;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);M;5;NA;24,4;30;75,8
78;Site monitoring;CDC;AN;15/01/2018;16/01/2018;11:00;10:50;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);F;4;NA;24,4;30;75,9
4;Site monitoring;CDC;V;15/01/2018;16/01/2018;11:25;11:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;3;NA;24,4;30;75,1
4;Site monitoring;CDC;V;15/01/2018;16/01/2018;11:25;11:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);F;3;NA;24,4;30;75,11
46;Site monitoring;CDC;AK;15/01/2018;16/01/2018;11:30;11:25;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Béton;EH ;NO;"""NA""";NA;456111;12.854292;"""NA""";"""NA""";NA;0;NA;24,4;30;75,12
88;Site monitoring;CDC;J;15/01/2018;16/01/2018;11:45;11:40;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,13
88;Site monitoring;CDC;J;15/01/2018;16/01/2018;11:45;11:40;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);F;2;NA;24,4;30;75,14
1;Site monitoring;CDC;AP;15/01/2018;16/01/2018;11:50;11:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,15
1;Site monitoring;CDC;AP;15/01/2018;16/01/2018;11:50;11:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);F;1;1;24,4;30;75,16
45;Site monitoring;CDC;B;27/12/2017;28/12/2017;10:20;10:00;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;PU;Béton;IH;NO;"""NA""";NA;45.17323;12.959047;Culex;quinquefasciatus (pipiens);M;1;NA;NA;NA;NA
45;Site monitoring;CDC;B;27/12/2017;28/12/2017;10:20;10:00;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;PU;Béton;IH;NO;"""NA""";NA;45.17323;12.959047;Culex;quinquefasciatus (pipiens);F;3;NA;NA;NA;NA
11;Site monitoring;CDC;AN;27/12/2017;28/12/2017;10:20;10:00;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;PU;Béton;EH ;NO;"""NA""";NA;45.17323;12.959047;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
22;Site monitoring;CDC;AP;27/12/2017;28/12/2017;10:30;10:10;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Béton;IH;NO;"""NA""";NA;45.17319;12.95874;Culex;quinquefasciatus (pipiens);M;3;NA;NA;NA;NA
22;Site monitoring;CDC;AP;27/12/2017;28/12/2017;10:30;10:10;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Béton;IH;NO;"""NA""";NA;45.17319;12.95874;Culex;quinquefasciatus (pipiens);F;7;1;NA;NA;NA
1;Site monitoring;CDC;H;27/12/2017;28/12/2017;10:30;10:10;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Béton;EH ;NO;"""NA""";NA;45.17319;12.95874;Culex;quinquefasciatus (pipiens);M;5;NA;NA;NA;NA
1;Site monitoring;CDC;H;27/12/2017;28/12/2017;10:30;10:10;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Béton;EH ;NO;"""NA""";NA;45.17319;12.95874;Culex;quinquefasciatus (pipiens);F;2;NA;NA;NA;NA
44;Site monitoring;CDC;AM;27/12/2017;28/12/2017;11:06;10:40;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;IH;NO;"""NA""";NA;45.175885;12.961885;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
90;Site monitoring;CDC;A;27/12/2017;28/12/2017;11:06;10:40;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;EH ;NO;"""NA""";NA;45.175885;12.961885;Culex;quinquefasciatus (pipiens);M;16;NA;NA;NA;NA
90;Site monitoring;CDC;A;27/12/2017;28/12/2017;11:06;10:40;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;EH ;NO;"""NA""";NA;45.175885;12.961885;Culex;quinquefasciatus (pipiens);F;2;NA;NA;NA;NA
39;Site monitoring;CDC;AI;27/12/2017;28/12/2017;11:40;10:50;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;IH;NO;"""NA""";NA;45.173008;12.962445;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
27;Site monitoring;CDC;OI;27/12/2017;28/12/2017;11:40;10:50;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;EH ;NO;"""NA""";NA;45.173008;12.962445;Culex;quinquefasciatus (pipiens);M;21;NA;NA;NA;NA
27;Site monitoring;CDC;OI;27/12/2017;28/12/2017;11:40;10:50;Medium;low coverage;no rain;No wind;high coverage;Forte;BANDRELE;M'Tsamoudou;NA;U;Tole;EH ;NO;"""NA""";NA;45.173008;12.962445;Culex;quinquefasciatus (pipiens);F;17;NA;NA;NA;NA
27;Site monitoring;CDC;D;04/01/2018;05/01/2018;12:00;10:05;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Béton;IH;NO;"""NA""";NA;45.134022;-12.7908;Culex;quinquefasciatus (pipiens);M;12;NA;24,3;27,5;47,6
27;Site monitoring;CDC;D;04/01/2018;05/01/2018;12:00;10:05;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Béton;IH;NO;"""NA""";NA;45.134022;-12.7908;Culex;quinquefasciatus (pipiens);F;13;NA;24,3;27,5;47,6
33;Site monitoring;CDC;AD;04/01/2018;05/01/2018;12:05;10:10;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Béton;EH ;NO;"""NA""";NA;45.134022;-12.7908;Culex;quinquefasciatus (pipiens);M;1;NA;24,3;27,5;47,6
33;Site monitoring;CDC;AD;04/01/2018;05/01/2018;12:05;10:10;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Béton;EH ;NO;"""NA""";NA;45.134022;-12.7908;Culex;quinquefasciatus (pipiens);F;2;NA;24,3;27,5;47,6
31;Site monitoring;CDC;T;04/01/2018;05/01/2018;12:20;10:20;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Tole;IH;NO;"""NA""";NA;45.133887;-12.791242;"""NA""";"""NA""";NA;0;NA;24,3;27,5;47,6
65;Site monitoring;CDC;AO;04/01/2018;05/01/2018;12:20;10:25;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Tole;EH ;NO;"""NA""";NA;45.133887;-12.791242;Culex;quinquefasciatus (pipiens);M;3;NA;24,3;27,5;47,6
65;Site monitoring;CDC;AO;04/01/2018;05/01/2018;12:20;10:25;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;U;Tole;EH ;NO;"""NA""";NA;45.133887;-12.791242;Culex;quinquefasciatus (pipiens);F;2;NA;24,3;27,5;47,6
23;Site monitoring;CDC;AN;04/01/2018;05/01/2018;12:35;10:40;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;IH;NO;"""NA""";NA;45.131318;-12.791553;Culex;quinquefasciatus (pipiens);M;14;NA;24,3;27,5;47,6
23;Site monitoring;CDC;AN;04/01/2018;05/01/2018;12:35;10:40;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;IH;NO;"""NA""";NA;45.131318;-12.791553;Culex;quinquefasciatus (pipiens);F;11;NA;24,3;27,5;47,6
83;Site monitoring;CDC;B;04/01/2018;05/01/2018;12:40;10:45;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;EH ;NO;"""NA""";NA;45.131318;-12.791553;Culex;quinquefasciatus (pipiens);F;2;NA;24,3;27,5;47,6
11;Site monitoring;CDC;AM;04/01/2018;05/01/2018;12:55;11:00;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;IH;NO;"""NA""";NA;45.131617;-12.791143;Culex;quinquefasciatus (pipiens);M;1;NA;24,3;27,5;47,6
11;Site monitoring;CDC;AM;04/01/2018;05/01/2018;12:55;11:00;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;IH;NO;"""NA""";NA;45.131617;-12.791143;Culex;quinquefasciatus (pipiens);F;2;NA;24,3;27,5;47,6
44;Site monitoring;CDC;A;04/01/2018;05/01/2018;13:00;11:05;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;EH ;NO;"""NA""";NA;45.131617;-12.791143;Culex;quinquefasciatus (pipiens);M;10;NA;24,3;27,5;47,6
44;Site monitoring;CDC;A;04/01/2018;05/01/2018;13:00;11:05;low;mean coverage;light;Medium;mean coverage;Fine;TSINGONI;Combani;Sim;PU;Tole;EH ;NO;"""NA""";NA;45.131617;-12.791143;Culex;quinquefasciatus (pipiens);F;12;NA;24,3;27,5;47,6
20;Site monitoring;CDC;AM;03/01/2018;04/01/2018;11:00;10:00;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe2;U;Tole;IH;NO;"""NA""";NA;45.18053;-12.791473;Culex;quinquefasciatus (pipiens);M;1;NA;25,9;30;2,6
20;Site monitoring;CDC;AM;03/01/2018;04/01/2018;11:00;10:00;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe3;U;Tole;IH;NO;"""NA""";NA;45.18053;-12.791473;Culex;quinquefasciatus (pipiens);F;1;NA;25,9;30;2,6
36;Site monitoring;CDC;A;03/01/2018;04/01/2018;11:05;10:00;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe4;U;Tole;EH ;NO;"""NA""";NA;45.18053;-12.791473;Culex;quinquefasciatus (pipiens);M;2;NA;25,9;30;2,6
36;Site monitoring;CDC;A;03/01/2018;04/01/2018;11:05;10:00;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe5;U;Tole;EH ;NO;"""NA""";NA;45.18053;-12.791473;Culex;quinquefasciatus (pipiens);F;3;NA;25,9;30;2,6
31;Site monitoring;CDC;D;03/01/2018;04/01/2018;11:25;10:15;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe6;U;Tole;IH;NO;"""NA""";NA;45.18016;-12.791388;Culex;quinquefasciatus (pipiens);M;1;NA;25,9;30;2,6
31;Site monitoring;CDC;D;03/01/2018;04/01/2018;11:25;10:15;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe7;U;Tole;IH;NO;"""NA""";NA;45.18016;-12.791388;Culex;quinquefasciatus (pipiens);F;1;NA;25,9;30;2,6
66;Site monitoring;CDC;AD;03/01/2018;04/01/2018;11:28;10:20;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe8;U;Tole;EH ;NO;"""NA""";NA;45.18016;-12.791388;Culex;quinquefasciatus (pipiens);F;2;NA;25,9;30;2,6
21;Site monitoring;CDC;AO;03/01/2018;04/01/2018;12:10;10:35;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe9;PU;Tole;IH;NO;"""NA""";NA;45.176885;-12.792698;"""NA""";"""NA""";NA;0;NA;25,9;30;2,6
78;Site monitoring;CDC;T;03/01/2018;04/01/2018;12:15;10:40;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe10;PU;Tole;EH ;NO;"""NA""";NA;45.176885;-12.792698;"""NA""";"""NA""";NA;0;NA;25,9;30;2,6
88;Site monitoring;CDC;B;03/01/2018;04/01/2018;12:30;10:50;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe11;PU;Tole;IH;NO;"""NA""";NA;45.176842;-12.793003;Culex;quinquefasciatus (pipiens);M;2;NA;25,9;30;2,6
88;Site monitoring;CDC;B;03/01/2018;04/01/2018;12:30;10:50;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe12;PU;Tole;IH;NO;"""NA""";NA;45.176842;-12.793003;Culex;quinquefasciatus (pipiens);F;1;NA;25,9;30;2,6
1;Site monitoring;CDC;AN;03/01/2018;04/01/2018;12:35;10:55;Medium;mean coverage;light;Medium;mean coverage;Fine;MAMOUDZOU;Vahibé;Americain-Ville et Vahibe13;PU;Tole;EH ;NO;"""NA""";NA;45.176842;-12.793003;Culex;quinquefasciatus (pipiens);F;1;NA;25,9;30;2,6
58;Site monitoring;CDC;AO;04/12/2017;05/12/2017;9:10;10:30;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Tole;IH;NO;"""NA""";NA;45.220563;-12.767585;Culex;quinquefasciatus (pipiens);M;25;NA;NA;NA;NA
58;Site monitoring;CDC;AO;04/12/2017;05/12/2017;9:10;10:30;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Tole;IH;NO;"""NA""";NA;45.220563;-12.767585;Culex;quinquefasciatus (pipiens);F;20;NA;NA;NA;NA
91;Site monitoring;CDC;AP;04/12/2017;05/12/2017;9:45;10:35;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Tole;EH ;NO;"""NA""";NA;45.220563;-12.767585;Culex;quinquefasciatus (pipiens);M;2;NA;NA;NA;NA
91;Site monitoring;CDC;AP;04/12/2017;05/12/2017;9:45;10:35;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Tole;EH ;NO;"""NA""";NA;45.220563;-12.767585;Culex;quinquefasciatus (pipiens);F;6;NA;NA;NA;NA
38;Site monitoring;CDC;AN;04/12/2017;05/12/2017;9:50;10:45;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;IH;NO;"""NA""";NA;45.221495;-12.766118;Culex;quinquefasciatus (pipiens);M;2;NA;NA;NA;NA
38;Site monitoring;CDC;AN;04/12/2017;05/12/2017;9:50;10:45;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;IH;NO;"""NA""";NA;45.221495;-12.766118;Culex;quinquefasciatus (pipiens);F;4;NA;NA;NA;NA
35;Site monitoring;CDC;B;04/12/2017;05/12/2017;10:00;10:50;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;EH ;NO;"""NA""";NA;45.221495;-12.766118;Culex;quinquefasciatus (pipiens);M;3;NA;NA;NA;NA
35;Site monitoring;CDC;B;04/12/2017;05/12/2017;10:00;10:50;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;EH ;NO;"""NA""";NA;45.221495;-12.766118;Culex;quinquefasciatus (pipiens);F;2;NA;NA;NA;NA
62;Site monitoring;CDC;OI;04/12/2017;05/12/2017;10:30;11:00;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;IH;NO;"""NA""";NA;45.221495;-12.766118;Aedes;albopictus;F;1;NA;NA;NA;NA
23;Site monitoring;CDC;AI;04/12/2017;05/12/2017;11:05;10:35;low;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Kawéni;Lycee;PU;Béton;EH ;NO;"""NA""";NA;45.22401;-12.766353;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
14;Site monitoring;CDC;M;04/12/2017;05/12/2017;12:35;10:30;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;IH;NO;"""NA""";NA;45.233575;-12.781978;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
83;Site monitoring;CDC;X;04/12/2017;05/12/2017;12:40;10:30;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;EH ;NO;"""NA""";NA;45.233575;-12.781978;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
12;Site monitoring;CDC;AD;04/12/2017;05/12/2017;12:45;10:40;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;IH;NO;"""NA""";NA;45.233575;-12.781978;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
65;Site monitoring;CDC;D;04/12/2017;05/12/2017;12:50;10:40;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;EH ;NO;"""NA""";NA;45.233575;-12.781978;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
16;Site monitoring;CDC;F;04/12/2017;05/12/2017;12:55;10:55;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;IH;NO;"""NA""";NA;45.23311;-12.782763;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
37;Site monitoring;CDC;AH;04/12/2017;05/12/2017;13:00;11:00;No wind;low coverage;no rain;No wind;low coverage;Non;MAMOUDZOU;Mamoudzou;Mgombani;PU;Béton;EH ;NO;"""NA""";NA;45.23311;-12.782763;"""NA""";"""NA""";NA;0;NA;NA;NA;NA
NA;Site monitoring;CDC;B1;29/01/2018;30/01/2018;10:45;10:30;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;IH;NO;"""NA""";NA;-12.689236;45.109109;Culex;quinquefasciatus (pipiens);M;1;NA;23;29,3;10,2
NA;Site monitoring;CDC;B1;29/01/2018;30/01/2018;10:45;10:30;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;IH;NO;"""NA""";NA;-12.689236;45.109109;Culex;quinquefasciatus (pipiens);F;5;NA;23;29,3;10,2
NA;Site monitoring;CDC;43392;29/01/2018;30/01/2018;10:50;10:35;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;EH ;NO;"""NA""";NA;-12.689236;45.109109;Culex;quinquefasciatus (pipiens);M;1;NA;23;29,3;10,2
NA;Site monitoring;CDC;43392;29/01/2018;30/01/2018;10:50;10:35;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;EH ;NO;"""NA""";NA;-12.689236;45.109109;Culex;quinquefasciatus (pipiens);F;1;NA;23;29,3;10,2
NA;Site monitoring;CDC;OI65;29/01/2018;30/01/2018;11:15;10:45;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;IH;NO;"""NA""";NA;-12.689289;45.10935;Culex;quinquefasciatus (pipiens);M;2;NA;23;29,3;10,2
NA;Site monitoring;CDC;OI65;29/01/2018;30/01/2018;11:15;10:45;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;IH;NO;"""NA""";NA;-12.689289;45.10935;Culex;quinquefasciatus (pipiens);F;5;NA;23;29,3;10,2
NA;Site monitoring;CDC;H55;29/01/2018;30/01/2018;11:20;10:50;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;IH;NO;"""NA""";NA;-12.689289;45.10935;Culex;quinquefasciatus (pipiens);M;1;NA;23;29,3;10,2
NA;Site monitoring;CDC;H55;29/01/2018;30/01/2018;11:20;10:50;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;IH;NO;"""NA""";NA;-12.689289;45.10935;Culex;quinquefasciatus (pipiens);F;3;NA;23;29,3;10,2
NA;Site monitoring;CDC;APO15;29/01/2018;30/01/2018;11:45;11:05;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;IH;NO;"""NA""";NA;-12.689304;45.109545;Culex;quinquefasciatus (pipiens);F;3;1;23;29,3;10,2
NA;Site monitoring;CDC;AP23;29/01/2018;30/01/2018;11:50;11:10;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;EH ;NO;"""NA""";NA;-12.689304;45.109545;Culex;quinquefasciatus (pipiens);M;2;NA;23;29,3;10,2
NA;Site monitoring;CDC;AP23;29/01/2018;30/01/2018;11:50;11:10;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Tole;EH ;NO;"""NA""";NA;-12.689304;45.109545;Culex;quinquefasciatus (pipiens);F;1;NA;23;29,3;10,2
NA;Site monitoring;CDC;AH66;29/01/2018;30/01/2018;12:15;11:20;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;IH;NO;"""NA""";NA;-12.688827;45.109018;Culex;quinquefasciatus (pipiens);F;3;NA;23;29,3;10,2
NA;Site monitoring;CDC;F84;29/01/2018;30/01/2018;12:20;11:25;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;EH ;NO;"""NA""";NA;-12.688827;45.109018;Culex;quinquefasciatus (pipiens);F;4;NA;23;29,3;10,2
NA;Site monitoring;CDC;F84;29/01/2018;30/01/2018;12:20;11:25;low;low coverage;no rain;Medium;low coverage;Non;BANDRABOUA;M'Tsangadoua;NA;PU;Béton;EH ;NO;"""NA""";NA;-12.688827;45.109018;Aedes;albopictus;M;1;NA;23;29,3;10,2
